Name	Kind	Camp	Series	HeadImage	ClientOnly	CorpseIdx	DeathFrame	WalkFrame	RunFrame	HurtFrame	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	StandFrame	StandFrame1	Stature	Treasure	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	FireResistMax	ColdResistMax	LightingResistMax	PoisonResistMax	PhycicsResistMax	ActiveRadius	VisionRadius	DropRateFile	AIMaxTime	HitRecover	ReviveFrame	ArmorType	HelmType	WeaponType	HorseType	RideHorse	ActionScript	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	LifeReplenish	Defense	MinDamage	MaxDamage	AttackRating	RedLum	GreenLum	BlueLum	FireResist	ColdResist	LightingResist	PoisonResist	PhycicsResist	ten	ExpParam1	ExpParam2	ExpParam3	LifeParam1	LifeParam2	LifeParam3	ARParam1	ARParam2	ARParam3	NpcResType	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3
9	0	5	0			57	14	22	22	9	6	6	25	25	12	30	100	1	3	20	80	90	90	100	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		喷毛	1|0	喷毛	1|0	喷毛	1|0	喷毛	1|0	1	80|6	1|0.2	6|1	50|4				0|0	0|0.5	0|0.5	0|0.95	0|0.5	红狐	8	2	700	40	3		50	4		ani015	80	6	10	1	0.2	10	5	1	10
10	0	5	1			60	30	22	22	14	6	6	25	25	10	43	100	1	3	20	5	60	80	100	0	0	75	75	90	75	60	1000	400	\Settings\DropRate\heo2\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.5	0|0.95	0|0.5	0|0	野猪	8	2.5	700	60	5		60	6		ani018	50	4	10	5	1	10	5	1	10
11	0	5	2			61	17	20	20	13	6	6	25	25	14	11	100	1	3	20	60	60	80	80	0	0	90	75	60	75	75	1000	400	\Settings\DropRate\heo2\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.95	0|0.5	0|0	0|0.5	0|0.5	刺猬	8	2.5	700	60	5		60	6		ani019	50	4	10	5	1	10	5	1	10
12	0	5	3			63	38	24	24	16	2	6	25	25	38	38	100	1	3	20	5	60	80	100	0	0	75	60	75	75	90	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0	0|0.5	0|0.5	0|0.95	亚洲象	8	2.5	700	60	5		60	6		ani021	50	4	10	5	1	10	5	1	10
13	0	5	4			66	38	24	24	16	2	6	25	25	38	38	100	1	3	10	10	60	80	100	0	0	75	90	75	60	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.95	0|0.5	0|0	0|0.5	黄河象	8	2.5	700	60	5		60	6		ani024	50	4	10	5	1	10	5	1	10
14	0	5	0			67	31	27	27	12	6	6	25	25	14	24	100	1	3	5	1	40	60	100	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0	0|0.5	0|0.5	0|0.95	0|0.5	棕熊	8	2.5	700	60	5		60	6		ani025	50	4	10	5	1	10	5	1	10
15	0	5	1			68	26	21	21	12	6	6	25	25	14	16	100	1	3	5	1	40	60	100	0	0	75	75	90	75	60	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.5	0|0.95	0|0.5	0|0	黑熊	8	2.5	700	60	5		60	6		ani026	50	4	10	5	1	10	5	1	10
16	0	5	2			71	36	23	23	15	6	6	25	25	30	32	100	1	3	5	1	40	60	100	0	0	90	75	60	75	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.95	0|0.5	0|0	0|0.5	0|0.5	野牛	8	2.5	700	60	5		60	6		ani029	50	4	10	5	1	10	5	1	10
17	0	5	3			75	30	26	26	15	1	6	25	25	30	30	100	1	3	1	1	80	60	50	0	0	75	60	75	75	90	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0	0|0.5	0|0.5	0|0.95	扬子鳄	8	2.5	700	60	5		60	6		ani033	50	4	10	5	1	10	5	1	10
18	0	5	4			78	32	24	24	15	6	6	25	25	32	32	100	1	3	1	1	80	60	50	0	0	75	90	75	60	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	长兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.95	0|0.5	0|0	0|0.5	火蜥蜴	8	2.5	700	60	5		60	6		ani036	50	4	10	5	1	10	5	1	10
19	0	5	0			79	24	11	11	15	4	6	25	25	27	27	100	1	3	1	1	80	70	60	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	1	80|6	1|0.2	6|1	50|4				0|0	0|0.5	0|0.5	0|0.95	0|0.5	眼镜蟒蛇	8	2	700	40	3		50	4		ani037	80	6	10	1	0.2	10	6	1	10
20	0	5	1			80	19	20	20	6	4	6	25	25	13	20	100	1	3	1	1	80	70	60	0	0	75	75	90	75	60	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	1	80|6	1|0.2	6|1	50|4				0|0.5	0|0.5	0|0.95	0|0.5	0|0	绿色蟒蛇	8	2	700	40	3		50	4		ani038	80	6	10	1	0.2	10	6	1	10
21	0	5	2			81	26	22	22	14	4	6	25	25	35	35	100	1	3	1	1	80	70	60	0	0	90	75	60	75	75	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	1	80|6	1|0.2	6|1	50|4				0|0.95	0|0.5	0|0	0|0.5	0|0.5	金环蟒蛇	8	2	700	40	3		50	4		ani039	80	6	10	1	0.2	10	6	1	10
22	0	5	3			82	14	20	20	7	4	6	25	25	15	13	100	1	3	1	1	80	70	60	0	0	75	60	75	75	90	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	吐毒水	1|0	1	80|6	1|0.2	6|1	50|4				0|0.5	0|0	0|0.5	0|0.5	0|0.95	赤练蟒蛇	8	2	700	40	3		50	4		ani040	80	6	10	1	0.2	10	6	1	10
23	0	5	4			83	15	4	4	7	8	10	25	25	9	9	200	1	3	1	1	40	50	80	0	0	75	90	75	60	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.95	0|0.5	0|0	0|0.5	金雕	8	2.5	700	60	5		60	6		ani041	50	4	10	5	1	10	5	1	10
24	0	5	0			84	28	12	12	14	8	10	25	25	20	20	200	1	3	1	1	60	60	80	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0	0|0.5	0|0.5	0|0.95	0|0.5	苍鹰	8	2.5	700	60	5		60	6		ani042	50	4	10	5	1	10	5	1	10
25	0	5	1			85	16	9	9	8	8	10	25	25	12	14	200	1	3	1	1	20	40	80	0	0	75	75	90	75	60	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.5	0|0.95	0|0.5	0|0	秃鹫	8	2.5	700	60	5		60	6		ani043	50	4	10	5	1	10	5	1	10
26	0	5	2			87	28	10	10	18	8	10	25	25	12	27	200	1	3	20	60	80	70	60	0	0	90	75	60	75	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	4|0.8	4|0.8	60|6				0|0.95	0|0.5	0|0	0|0.5	0|0.5	霸王蝙蝠	6	1.6	700	60	5		60	6		ani045	50	4	10	4	0.8	10	4	0.8	10
27	0	5	3			88	28	10	10	14	8	10	25	25	14	23	200	1	3	1	1	80	80	80	0	0	75	60	75	75	90	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	4|0.8	4|0.8	60|6				0|0.5	0|0	0|0.5	0|0.5	0|0.95	红霸王蝙蝠	6	1.6	700	60	5		60	6		ani046	50	4	10	4	0.8	10	4	0.8	10
28	0	5	4			89	28	10	10	14	8	10	25	25	14	23	200	1	3	20	60	80	70	60	0	0	75	90	75	60	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	4|0.8	4|0.8	60|6				0|0.5	0|0.95	0|0.5	0|0	0|0.5	溶洞蝙蝠	6	1.6	700	60	5		60	6		ani047	50	4	10	4	0.8	10	4	0.8	10
29	0	5	0			90	28	10	10	14	8	10	25	25	14	23	200	1	3	1	1	80	80	80	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	4|0.8	4|0.8	60|6				0|0	0|0.5	0|0.5	0|0.95	0|0.5	吸血蝙蝠	6	1.6	700	60	5		60	6		ani048	50	4	10	4	0.8	10	4	0.8	10
30	0	5	1			91	24	22	22	14	6	6	25	25	24	29	100	1	3	35	20	85	70	60	0	0	75	75	90	75	60	1000	400	\Settings\DropRate\heo\DropRate.ini		10	3600	0	0	0	0	0		甩毛	1|0	甩毛	1|0	甩毛	1|0	甩毛	1|0	1	40|5	1|0.2	2|0.6	30|3				0|0.5	0|0.5	0|0.95	0|0.5	0|0	金猫	8	4.3	700	40	3		30	3		ani049	40	5	10	1	0.2	10	2	0.6	10
31	0	5	2			92	19	9	9	15	6	6	25	25	14	16	100	1	3	35	20	80	70	60	0	0	90	75	60	75	75	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		甩毛	1|0	甩毛	1|0	甩毛	1|0	甩毛	1|0	1	40|5	1|0.2	2|0.6	30|3				0|0.95	0|0.5	0|0	0|0.5	0|0.5	猞猁	8	2	700	40	3		30	3		ani050	40	5	10	1	0.2	10	2	0.6	10
32	0	5	3			93	28	8	8	16	6	6	25	25	11	22	100	1	3	40	10	70	80	90	0	0	75	60	75	75	90	1000	400	\Settings\DropRate\heo2\DropRate.ini		10	3600	0	0	0	0	0		甩毛	1|0	甩毛	1|0	甩毛	1|0	甩毛	1|0	1	40|5	1|0.2	2|0.6	30|3				0|0.5	0|0	0|0.5	0|0.5	0|0.95	浣熊	8	2	700	40	3		30	3		ani051	40	5	10	1	0.2	10	2	0.6	10
33	0	5	4			94	22	8	8	12	6	6	25	25	14	22	100	1	3	40	40	80	70	60	0	0	75	90	75	60	75	1000	400	\Settings\DropRate\heo2\DropRate.ini		10	1200	0	0	0	0	0		甩毛	1|0	甩毛	1|0	甩毛	1|0	甩毛	1|0	1	40|5	1|0.2	2|0.6	30|3				0|0.5	0|0.95	0|0.5	0|0	0|0.5	灵猫	8	2	700	40	3		30	3		ani052	40	5	10	1	0.2	10	2	0.6	10
34	0	5	0			95	23	21	21	12	6	6	25	25	30	31	100	1	3	20	100	80	70	60	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		扔石头	1|0	扔石头	1|0	扔石头	1|0	扔石头	1|0	1	40|5	1|0.2	2|0.6	30|3				0|0	0|0.5	0|0.5	0|0.95	0|0.5	藏域猴	8	2	700	40	3		30	3		ani053	40	5	10	1	0.2	10	2	0.6	10
35	0	5	1			96	28	19	19	13	6	6	25	25	36	31	100	1	3	10	60	90	90	60	0	0	75	75	90	75	60	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		扔石头	1|0	扔石头	1|0	扔石头	1|0	扔石头	1|0	1	40|5	1|0.2	2|0.6	30|3				0|0.5	0|0.5	0|0.95	0|0.5	0|0	灰叶猴	8	2	700	40	3		30	3		ani054	40	5	10	1	0.2	10	2	0.6	10
36	0	5	2			97	22	21	21	13	6	6	25	25	30	31	100	1	3	20	50	80	70	100	0	0	90	75	60	75	75	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		扔石头	1|0	扔石头	1|0	扔石头	1|0	扔石头	1|0	1	40|5	1|0.2	2|0.6	30|3				0|0.95	0|0.5	0|0	0|0.5	0|0.5	黑叶猴	8	2	700	40	3		30	3		ani055	40	5	10	1	0.2	10	2	0.6	10
37	0	5	3			98	22	18	18	12	6	6	25	25	24	25	100	1	3	30	60	80	70	60	0	0	75	60	75	75	90	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		扔石头	1|0	扔石头	1|0	扔石头	1|0	扔石头	1|0	1	40|5	1|0.2	2|0.6	30|3				0|0.5	0|0	0|0.5	0|0.5	0|0.95	金丝猴	8	2	700	40	3		30	3		ani056	40	5	10	1	0.2	10	2	0.6	10
q	0	5	4			100	36	22	22	14	6	6	25	25	32	32	100	1	3	1	1	80	80	80	0	0	75	90	75	60	75	1000	400	\Settings\DropRate.ini		30	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	2	90|7	3|0.6	4|1	80|7				0|0.5	0|0.95	0|0.5	0|0	0|0.5	豺	8	2.3	700	50	4		80	7		ani058	90	7	10	3	0.6	10	4	1	10
w	0	5	0			101	28	27	27	13	6	6	25	25	28	28	100	1	3	1	1	60	60	60	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		30	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	2	90|7	3|0.6	4|1	80|7				0|0	0|0.5	0|0.5	0|0.95	0|0.5	雪怪	8	2.3	700	50	4		80	7		ani059	90	7	10	3	0.6	10	4	1	10
e	0	5	1			102	26	24	24	12	6	6	25	25	36	36	100	1	3	80	20	60	70	80	0	0	75	75	90	75	60	1000	400	\Settings\DropRate.ini		30	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	2	90|7	3|0.6	4|1	80|7				0|0.5	0|0.5	0|0.95	0|0.5	0|0	蛤蟆	8	2.3	700	50	4		80	7		ani060	90	7	10	3	0.6	10	4	1	10
r	0	5	2			103	31	22	22	14	4	6	25	25	35	35	100	1	2	1	1	60	80	100	0	0	90	75	60	75	75	1000	400	\Settings\DropRate\heo\DropRate.ini		30	1200	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	2	50|2	1|0.6	2|0.7	10|2				0|0.95	0|0.5	0|0	0|0.5	0|0.5	梅花鹿	4	7.5	700	40	5	10	10	2		ani061	5	2	10	1	0.6	10	2	0.7	10
t	0	5	3			105	31	20	20	13	3	6	25	25	31	36	100	1	3	20	40	100	70	60	0	0	75	60	75	75	90	1000	400	\Settings\DropRate\heo\DropRate.ini		30	1200	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	2	100|5	1|0.6	3|0.8	10|2				0|0.5	0|0	0|0.5	0|0.5	0|0.95	白猪	4	4.5	700	40	2	10	10	2		ani063	10	5	10	1	0.6	10	3	0.8	10
r	0	5	4			107	24	21	21	14	6	6	25	25	21	20	100	1	3	1	1	70	70	70	0	0	75	90	75	60	75	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	1	80|6	1|0.2	6|1	50|4				0|0.5	0|0.95	0|0.5	0|0	0|0.5	蝎子	8	2	700	40	3		50	4		ani065	80	6	10	1	0.6	10	6	1	10
y	0	5	0			108	30	6	6	12	6	6	25	25	30	30	100	1	3	1	1	70	70	70	0	0	75	75	75	75	75	1000	400	\Settings\DropRate.ini		30	3600	0	0	0	0	0		短兵物理攻击	1|0	远程物理攻击	1|0	远程物理攻击	1|0	远程物理攻击	1|0	2	90|7	3|0.6	4|1	80|7				0|0	0|0	0|0	5|0.3	0|0	蜘蛛	8	2.3	700	50	4		80	7		ani066	90	7	10	3	0.6	10	4	1	10
u	0	5	1			109	24	12	12	13	6	6	25	25	18	17	100	1	3	1	1	70	70	70	0	0	75	75	75	75	75	1000	400	\Settings\DropRate.ini		30	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	2	90|7	3|0.6	4|1	80|7				0|0	0|0	0|0	5|0.3	0|0	蜈蚣	8	2.3	700	50	4		80	7		ani067	90	7	10	3	0.6	10	4	1	10
i       1	3	6	2			112	20	23	23	17	6	6	25	25	24	33	100	3	3	40	70	80	70	60	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		迅雷咒	1|0.2	迅雷咒	1|0.2	迅雷咒	1|0.2	迅雷咒	1|0.2	3	50|4	5|1	5|1	60|6				0|0	0|0.5	0|0.5	0|0.95	0|0.5	南宋官员1	8	2.5	700	60	5		60	6		enemy003	50	4	10	5	1	10	5	1	10
o       2	3	6	3			113	20	23	23	15	6	6	25	25	30	30	100	3	3	1	1	80	80	100	0	0	75	75	90	75	60	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0.2	惊雷斩	1|0.2	惊雷斩	1|0.2	惊雷斩	1|0.2	3	50|4	5|1	5|1	60|6				0|0.5	0|0.5	0|0.95	0|0.5	0|0	南宋官员2	8	2.5	700	60	5		60	6		enemy004	50	4	10	5	1	10	5	1	10
a       1	3	6	4			114	18	18	18	10	6	6	25	25	23	23	100	3	3	40	80	80	70	60	0	0	90	75	60	75	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		幽冥骷髅	1|0.2	幽冥骷髅	1|0.2	幽冥骷髅	1|0.2	幽冥骷髅	1|0.2	3	50|4	5|1	5|1	60|6				0|0.95	0|0.5	0|0	0|0.5	0|0.5	金国官员1	8	2.5	700	60	5		60	6		enemy005	50	4	10	5	1	10	5	1	10
s       2	3	6	0			115	21	24	24	12	6	6	25	25	24	27	100	3	3	1	1	70	70	100	0	0	75	60	75	75	90	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0.2	残阳如血	1|0.2	残阳如血	1|0.2	残阳如血	1|0.2	3	50|4	5|1	5|1	60|6				0|0.5	0|0	0|0.5	0|0.5	0|0.95	金国官员2	8	2.5	700	60	5		60	6		enemy006	50	4	10	5	1	10	5	1	10
d       1 	3	6	1			116	31	23	23	12	6	6	25	25	27	27	100	1	3	60	40	80	70	60	0	0	75	90	75	60	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.95	0|0.5	0|0	0|0.5	南宋差役1	8	2.5	700	60	5		60	6		enemy007	50	4	10	5	1	10	5	1	10
f       2	3	6	2			125	14	19	19	14	6	6	25	25	23	36	100	1	3	1	1	80	50	70	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	毒砂掌	1|0.2	毒砂掌	1|0.2	毒砂掌	1|0.2	3	50|4	5|1	5|1	60|6				0|0	0|0.5	0|0.5	0|0.95	0|0.5	金国捕快2	8	2.5	700	60	5		60	6		enemy016	50	4	10	5	1	10	5	1	10
g       1	3	6	3			126	19	26	26	12	6	6	25	25	24	26	100	3	3	1	1	80	50	70	0	0	75	75	90	75	60	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	行云决	1|0.2	行云决	1|0.2	行云决	1|0.2	3	50|4	5|1	5|1	60|6				0|0.5	0|0.5	0|0.95	0|0.5	0|0	南宋武将1	8	2.5	700	60	5		60	6		enemy017	50	4	10	5	1	10	5	1	10
